"codigo";"ano";"mes";"latitude";"longitude";"mm.sum"
"350050101A";2014;12;-22,475;-46,628;254,4
"350050101A";2015;1;-22,475;-46,628;33,8
"350050101A";2015;2;-22,475;-46,628;283,2
"350050101A";2015;3;-22,475;-46,628;169,6
"350050102A";2014;12;-22,482;-46,593;185
"350050102A";2015;1;-22,482;-46,593;44,6
"350050102A";2015;2;-22,482;-46,593;273,2
"350050102A";2015;3;-22,482;-46,593;167,2
"350190501A";2014;12;-22,704;-46,818;168,521980094
"350190501A";2015;1;-22,704;-46,818;96,9473997203679
"350190501A";2015;2;-22,704;-46,818;234,104200102599
"350190502A";2014;12;-22,666;-46,753;150
"350190502A";2015;1;-22,666;-46,753;95,2
"350190502A";2015;2;-22,666;-46,753;13,8
"350190503A";2014;12;-22,722;-46,838;140,8
"350190503A";2015;1;-22,722;-46,838;115,8
"350190503A";2015;2;-22,722;-46,838;296
"350190503A";2015;3;-22,722;-46,838;132
"350250701A";2014;12;-22,86;-45,225;102,8
"350250701A";2015;1;-22,86;-45,225;61,8
"350250701A";2015;2;-22,86;-45,225;144,4
"350250701A";2015;3;-22,86;-45,225;167,6
"350250702A";2014;11;-22,8333;-45,2164;2,4
"350250702A";2014;12;-22,8333;-45,2164;103,4
"350250702A";2015;1;-22,8333;-45,2164;64
"350250702A";2015;2;-22,8333;-45,2164;165,6
"350250702A";2015;3;-22,8333;-45,2164;190,2
"350250703A";2014;11;-22,8681;-45,2603;0,2
"350250703A";2014;12;-22,8681;-45,2603;86,2
"350250703A";2015;1;-22,8681;-45,2603;76,2
"350250703A";2015;2;-22,8681;-45,2603;160,2
"350250703A";2015;3;-22,8681;-45,2603;148
"350250704A";2014;12;-22,839;-45,231;99,8
"350250704A";2015;1;-22,839;-45,231;61,2
"350250704A";2015;2;-22,839;-45,231;129,2
"350250704A";2015;3;-22,839;-45,231;222,2
"350270501A";2014;12;-24,507622;-48,848371;250
"350270501A";2015;1;-24,507622;-48,848371;318,8
"350270501A";2015;2;-24,507622;-48,848371;224,2
"350270501A";2015;3;-24,507622;-48,848371;178,2
"350270502A";2014;12;-24,489846;-48,845021;294
"350270502A";2015;1;-24,489846;-48,845021;220,6
"350270502A";2015;2;-24,489846;-48,845021;223,6
"350270502A";2015;3;-24,489846;-48,845021;176,4
"350270503A";2014;12;-24,549;-48,836;253,8
"350270503A";2015;1;-24,549;-48,836;190,6
"350270503A";2015;2;-24,549;-48,836;169,2
"350270503A";2015;3;-24,549;-48,836;24
"350275401A";2015;3;-23,4381;-47,0637;100,4
"350320801A";2014;12;-21,805;-48,178;180
"350320801A";2015;1;-21,805;-48,178;158,8
"350320801A";2015;2;-21,805;-48,178;133
"350320801A";2015;3;-21,805;-48,178;149
"350320802A";2014;12;-21,782;-48,155;212,8
"350320802A";2015;1;-21,782;-48,155;28,2
"350320803A";2014;12;-21,768;-48,181;234
"350320803A";2015;1;-21,768;-48,181;137,6
"350320803A";2015;2;-21,768;-48,181;142,4
"350320803A";2015;3;-21,768;-48,181;223,6
"350380201A";2014;12;-22,567;-47,154;207,699443376
"350380201A";2015;1;-22,567;-47,154;95,2960450916383
"350380201A";2015;2;-22,567;-47,154;218,50031362353
"350380201A";2015;3;-22,567;-47,154;174,908102795518
"350380202A";2014;12;-22,552;-47,167;206
"350380202A";2015;1;-22,552;-47,167;123,6
"350380202A";2015;2;-22,552;-47,167;221,8
"350380203A";2014;12;-22,581;-47,18;204,6
"350380203A";2015;1;-22,581;-47,18;102,6
"350380203A";2015;2;-22,581;-47,18;235
"350380203A";2015;3;-22,581;-47,18;158,8
"350390101A";2015;2;-23,3919;-46,3108;414,4
"350390101A";2015;3;-23,3919;-46,3108;185,2
"350410701A";2014;12;-23,1068;-46,50581;185,972502705
"350410701A";2015;1;-23,1068;-46,50581;112,604899972675
"350410701A";2015;2;-23,1068;-46,50581;278,587499671768
"350410701A";2015;3;-23,1068;-46,50581;182,380570327416
"350410702A";2014;12;-23,077;-46,64065;198,8
"350410702A";2015;1;-23,077;-46,64065;166,8
"350410702A";2015;2;-23,077;-46,64065;192,4
"350410702A";2015;3;-23,077;-46,64065;168,2
"350410703A";2014;12;-23,21842;-46,54781;171,2
"350410703A";2015;1;-23,21842;-46,54781;124,6
"350410703A";2015;2;-23,21842;-46,54781;216,4
"350410703A";2015;3;-23,21842;-46,54781;198,4
"350410704A";2014;12;-23,1487;-46,54671;159,8
"350410704A";2015;1;-23,1487;-46,54671;118,2
"350410704A";2015;2;-23,1487;-46,54671;303,8
"350410704A";2015;3;-23,1487;-46,54671;179,4
"350410706A";2014;12;-23,16773;-46,62687;129,2
