"grid...1.";"grid...2.";"krigagem2.predict"
-25,101;-51,622;156,901124006889
-25,051;-51,622;156,901124006889
-25,001;-51,622;156,901124006889
-24,951;-51,622;156,901124006889
-24,901;-51,622;156,901124006889
-24,851;-51,622;156,901124006889
-24,801;-51,622;156,901124006889
-24,751;-51,622;156,901124006889
-24,701;-51,622;156,901124006889
-24,651;-51,622;156,901124006889
-24,601;-51,622;156,901124006889
-24,551;-51,622;156,901124006889
-24,501;-51,622;156,901124006889
-24,451;-51,622;156,901124006889
-24,401;-51,622;156,901124006889
-24,351;-51,622;156,901124006889
-24,301;-51,622;156,901124006889
-24,251;-51,622;156,901124006889
-24,201;-51,622;156,901124006889
-24,151;-51,622;156,901124006889
-24,101;-51,622;156,901124006889
-24,051;-51,622;156,901124006889
-24,001;-51,622;156,901124006889
-23,951;-51,622;156,901124006889
-23,901;-51,622;156,901124006889
-23,851;-51,622;156,901124006889
-23,801;-51,622;156,901124006889
-23,751;-51,622;156,901124006889
-23,701;-51,622;156,901124006889
-23,651;-51,622;156,901124006889
-23,601;-51,622;156,901124006889
-23,551;-51,622;156,901124006889
-23,501;-51,622;156,901124006889
-23,451;-51,622;156,901124006889
-23,401;-51,622;156,901124006889
-23,351;-51,622;156,901124006889
-23,301;-51,622;156,901124006889
-23,251;-51,622;156,901124006889
-23,201;-51,622;156,901124006889
-23,151;-51,622;156,901124006889
-23,101;-51,622;156,901124006889
-23,051;-51,622;156,901124006889
-23,001;-51,622;156,901124006889
-22,951;-51,622;156,901124006889
-22,901;-51,622;156,901124006889
-22,851;-51,622;156,901124006889
-22,801;-51,622;156,901124006889
-22,751;-51,622;156,901124006889
-22,701;-51,622;156,901124006889
-22,651;-51,622;156,901124006889
-22,601;-51,622;156,901124006889
-22,551;-51,622;156,901124006889
-22,501;-51,622;156,901124006889
-22,451;-51,622;156,901124006889
-22,401;-51,622;156,901124006889
-22,351;-51,622;156,901124006889
-22,301;-51,622;156,901124006889
-22,251;-51,622;156,901124006889
-22,201;-51,622;156,901124006889
-22,151;-51,622;156,901124006889
-22,101;-51,622;156,901124006889
-22,051;-51,622;156,901124006889
-22,001;-51,622;156,901124006889
-21,951;-51,622;156,901124006889
-21,901;-51,622;156,89241890115
-21,851;-51,622;156,774658091414
-21,801;-51,622;156,374444644507
-21,751;-51,622;155,558146195056
-21,701;-51,622;154,267993162407
-21,651;-51,622;152,557892924361
-21,601;-51,622;150,62995801689
-21,551;-51,622;148,848896672327
-21,501;-51,622;147,691704851888
-21,451;-51,622;147,561538234305
-21,401;-51,622;148,513680555198
-21,351;-51,622;150,230491978318
-21,301;-51,622;152,243342336639
-21,251;-51,622;154,108639971623
-21,201;-51,622;155,52448323904
-21,151;-51,622;156,394687288628
-21,101;-51,622;156,791278817134
-21,051;-51,622;156,894897466415
-21,001;-51,622;156,901124006889
-20,951;-51,622;156,901124006889
-20,901;-51,622;156,901124006889
-20,851;-51,622;156,901124006889
-20,801;-51,622;156,901124006889
-20,751;-51,622;156,901124006889
-20,701;-51,622;156,901124006889
-20,651;-51,622;156,901124006889
-20,601;-51,622;156,901124006889
-20,551;-51,622;156,901124006889
-20,501;-51,622;156,901124006889
-20,451;-51,622;156,901124006889
-20,401;-51,622;156,901124006889
-20,351;-51,622;156,901124006889
-20,301;-51,622;156,901124006889
-20,251;-51,622;156,901124006889
-20,201;-51,622;156,901124006889
-25,101;-51,572;156,901124006889
-25,051;-51,572;156,901124006889
-25,001;-51,572;156,901124006889
-24,951;-51,572;156,901124006889
-24,901;-51,572;156,901124006889
-24,851;-51,572;156,901124006889
-24,801;-51,572;156,901124006889
-24,751;-51,572;156,901124006889
-24,701;-51,572;156,901124006889
-24,651;-51,572;156,901124006889
-24,601;-51,572;156,901124006889
-24,551;-51,572;156,901124006889
-24,501;-51,572;156,901124006889
-24,451;-51,572;156,901124006889
-24,401;-51,572;156,901124006889
-24,351;-51,572;156,901124006889
-24,301;-51,572;156,901124006889
-24,251;-51,572;156,901124006889
-24,201;-51,572;156,901124006889
-24,151;-51,572;156,901124006889
-24,101;-51,572;156,901124006889
-24,051;-51,572;156,901124006889
-24,001;-51,572;156,901124006889
-23,951;-51,572;156,901124006889
-23,901;-51,572;156,901124006889
-23,851;-51,572;156,901124006889
-23,801;-51,572;156,901124006889
-23,751;-51,572;156,901124006889
-23,701;-51,572;156,901124006889
-23,651;-51,572;156,901124006889
-23,601;-51,572;156,901124006889
-23,551;-51,572;156,901124006889
-23,501;-51,572;156,901124006889
-23,451;-51,572;156,901124006889
-23,401;-51,572;156,901124006889
-23,351;-51,572;156,901124006889
-23,301;-51,572;156,901124006889
-23,251;-51,572;156,901124006889
-23,201;-51,572;156,901124006889
-23,151;-51,572;156,901124006889
-23,101;-51,572;156,901124006889
-23,051;-51,572;156,901124006889
-23,001;-51,572;156,901124006889
-22,951;-51,572;156,901124006889
-22,901;-51,572;156,901124006889
-22,851;-51,572;156,901124006889
-22,801;-51,572;156,901124006889
-22,751;-51,572;156,901124006889
-22,701;-51,572;156,901124006889
-22,651;-51,572;156,901124006889
-22,601;-51,572;156,901124006889
-22,551;-51,572;156,901124006889
-22,501;-51,572;156,901124006889
-22,451;-51,572;156,901124006889
-22,401;-51,572;156,901124006889
-22,351;-51,572;156,901124006889
-22,301;-51,572;156,901124006889
-22,251;-51,572;156,901124006889
-22,201;-51,572;156,901124006889
-22,151;-51,572;156,901124006889
-22,101;-51,572;156,901124006889
-22,051;-51,572;156,901124006889
-22,001;-51,572;156,901124006889
-21,951;-51,572;156,901121565026
-21,901;-51,572;156,886440170788
-21,851;-51,572;156,768566392432
-21,801;-51,572;156,416955570937
-21,751;-51,572;155,691140231094
-21,701;-51,572;154,479650934112
-21,651;-51,572;152,759668397646
-21,601;-51,572;150,665975927632
-21,551;-51,572;148,547776161081
-21,501;-51,572;146,975583783366
-21,451;-51,572;146,569790902613
-21,401;-51,572;147,456680164424
-21,351;-51,572;149,237192471451
-21,301;-51,572;151,413794361627
-21,251;-51,572;153,519585765326
-21,201;-51,572;155,185440683095
-21,151;-51,572;156,238780697257
-21,101;-51,572;156,741665088891
-21,051;-51,572;156,888508432329
-21,001;-51,572;156,901123979823
-20,951;-51,572;156,901124006889
-20,901;-51,572;156,901124006889
-20,851;-51,572;156,901124006889
-20,801;-51,572;156,901124006889
-20,751;-51,572;156,901124006889
-20,701;-51,572;156,901124006889
-20,651;-51,572;156,901124006889
-20,601;-51,572;156,901124006889
-20,551;-51,572;156,901124006889
-20,501;-51,572;156,901124006889
-20,451;-51,572;156,901124006889
-20,401;-51,572;156,901124006889
-20,351;-51,572;156,901124006889
-20,301;-51,572;156,901124006889
-20,251;-51,572;156,901124006889
-20,201;-51,572;156,901124006889
-25,101;-51,522;156,901124006889
-25,051;-51,522;156,901124006889
-25,001;-51,522;156,901124006889
-24,951;-51,522;156,901124006889
-24,901;-51,522;156,901124006889
-24,851;-51,522;156,901124006889
-24,801;-51,522;156,901124006889
-24,751;-51,522;156,901124006889
-24,701;-51,522;156,901124006889
-24,651;-51,522;156,901124006889
-24,601;-51,522;156,901124006889
-24,551;-51,522;156,901124006889
-24,501;-51,522;156,901124006889
-24,451;-51,522;156,901124006889
-24,401;-51,522;156,901124006889
-24,351;-51,522;156,901124006889
-24,301;-51,522;156,901124006889
-24,251;-51,522;156,901124006889
-24,201;-51,522;156,901124006889
-24,151;-51,522;156,901124006889
-24,101;-51,522;156,901124006889
-24,051;-51,522;156,901124006889
-24,001;-51,522;156,901124006889
-23,951;-51,522;156,901124006889
-23,901;-51,522;156,901124006889
-23,851;-51,522;156,901124006889
-23,801;-51,522;156,901124006889
-23,751;-51,522;156,901124006889
-23,701;-51,522;156,901124006889
-23,651;-51,522;156,901124006889
-23,601;-51,522;156,901124006889
-23,551;-51,522;156,901124006889
-23,501;-51,522;156,901124006889
-23,451;-51,522;156,901124006889
-23,401;-51,522;156,901124006889
-23,351;-51,522;156,901124006889
-23,301;-51,522;156,901124006889
-23,251;-51,522;156,901124006889
-23,201;-51,522;156,901124006889
-23,151;-51,522;156,901124006889
-23,101;-51,522;156,901124006889
-23,051;-51,522;156,901124006889
-23,001;-51,522;156,901124006889
-22,951;-51,522;156,901124006889
-22,901;-51,522;156,901124006889
-22,851;-51,522;156,901124006889
-22,801;-51,522;156,901124006889
-22,751;-51,522;156,901124006889
-22,701;-51,522;156,901124006889
-22,651;-51,522;156,901124006889
-22,601;-51,522;156,901124006889
-22,551;-51,522;156,901124006889
-22,501;-51,522;156,901124006889
-22,451;-51,522;156,901124006889
-22,401;-51,522;156,901124006889
-22,351;-51,522;156,901124006889
-22,301;-51,522;156,901124006889
-22,251;-51,522;156,901124006889
-22,201;-51,522;156,901124006889
-22,151;-51,522;156,901124006889
-22,101;-51,522;156,901124006889
-22,051;-51,522;156,901124006889
-22,001;-51,522;156,901124006889
-21,951;-51,522;156,901573709192
-21,901;-51,522;156,92126941489
-21,851;-51,522;156,959313633077
-21,801;-51,522;156,921010187814
-21,751;-51,522;156,634023966966
-21,701;-51,522;155,900276732715
-21,651;-51,522;154,576158124851
-21,601;-51,522;152,67386395856
-21,551;-51,522;150,461454745972
-21,501;-51,522;148,518819429897
-21,451;-51,522;147,666450149002
-21,401;-51,522;148,13280444368
-21,351;-51,522;149,520884485601
-21,301;-51,522;151,413706296352
-21,251;-51,522;153,390188901592
-21,201;-51,522;155,064899231105
-21,151;-51,522;156,179173688851
-21,101;-51,522;156,721784919006
-21,051;-51,522;156,885545289352
-21,001;-51,522;156,901123154248
-20,951;-51,522;156,901124006889
-20,901;-51,522;156,901124006889
-20,851;-51,522;156,901124006889
-20,801;-51,522;156,901124006889
-20,751;-51,522;156,901124006889
-20,701;-51,522;156,901124006889
-20,651;-51,522;156,901124006889
-20,601;-51,522;156,901124006889
-20,551;-51,522;156,901124006889
-20,501;-51,522;156,901124006889
-20,451;-51,522;156,901124006889
-20,401;-51,522;156,901124006889
-20,351;-51,522;156,901124006889
-20,301;-51,522;156,901124006889
-20,251;-51,522;156,901124006889
-20,201;-51,522;156,901124006889
-25,101;-51,472;156,901124006889
-25,051;-51,472;156,901124006889
-25,001;-51,472;156,901124006889
-24,951;-51,472;156,901124006889
-24,901;-51,472;156,901124006889
-24,851;-51,472;156,901124006889
-24,801;-51,472;156,901124006889
-24,751;-51,472;156,901124006889
-24,701;-51,472;156,901124006889
-24,651;-51,472;156,901124006889
-24,601;-51,472;156,901124006889
-24,551;-51,472;156,901124006889
-24,501;-51,472;156,901124006889
-24,451;-51,472;156,901124006889
-24,401;-51,472;156,901124006889
-24,351;-51,472;156,901124006889
-24,301;-51,472;156,901124006889
-24,251;-51,472;156,901124006889
-24,201;-51,472;156,901124006889
-24,151;-51,472;156,901124006889
-24,101;-51,472;156,901124006889
-24,051;-51,472;156,901124006889
-24,001;-51,472;156,901124006889
-23,951;-51,472;156,901124006889
-23,901;-51,472;156,901124006889
-23,851;-51,472;156,901124006889
-23,801;-51,472;156,901124006889
-23,751;-51,472;156,901124006889
-23,701;-51,472;156,901124006889
-23,651;-51,472;156,901124006889
-23,601;-51,472;156,901124006889
-23,551;-51,472;156,901124006889
-23,501;-51,472;156,901124006889
-23,451;-51,472;156,901124006889
-23,401;-51,472;156,901124006889
-23,351;-51,472;156,901124006889
-23,301;-51,472;156,901124006889
-23,251;-51,472;156,901124006889
-23,201;-51,472;156,901124006889
-23,151;-51,472;156,901124006889
-23,101;-51,472;156,901124006889
-23,051;-51,472;156,901124006889
-23,001;-51,472;156,901124006889
-22,951;-51,472;156,901124006889
-22,901;-51,472;156,901124006889
-22,851;-51,472;156,901124006889
-22,801;-51,472;156,901124006889
-22,751;-51,472;156,901124006889
-22,701;-51,472;156,901124006889
-22,651;-51,472;156,901124006889
-22,601;-51,472;156,901124006889
-22,551;-51,472;156,901124006889
-22,501;-51,472;156,901124006889
-22,451;-51,472;156,901124006889
-22,401;-51,472;156,901124006889
-22,351;-51,472;156,901124006889
-22,301;-51,472;156,901124006889
-22,251;-51,472;156,901124006889
-22,201;-51,472;156,901124006889
-22,151;-51,472;156,901124006889
-22,101;-51,472;156,901124006889
-22,051;-51,472;156,901124006889
-22,001;-51,472;156,901124006889
-21,951;-51,472;156,914190719417
-21,901;-51,472;157,058697932642
-21,851;-51,472;157,434959370984
-21,801;-51,472;157,977442556897
-21,751;-51,472;158,473401103685
-21,701;-51,472;158,621630078681
-21,651;-51,472;158,12645384523
-21,601;-51,472;156,830082946508
-21,551;-51,472;154,866350555326
-21,501;-51,472;152,761605076675
-21,451;-51,472;151,285109826316
-21,401;-51,472;150,83497934168
-21,351;-51,472;151,303686234526
-21,301;-51,472;152,425605747698
-21,251;-51,472;153,860801804664
-21,201;-51,472;155,237516212093
-21,151;-51,472;156,239306627892
-21,101;-51,472;156,741665088891
-21,051;-51,472;156,888508432329
-21,001;-51,472;156,901123979823
-20,951;-51,472;156,901124006889
-20,901;-51,472;156,901124006889
-20,851;-51,472;156,901124006889
-20,801;-51,472;156,901124006889
-20,751;-51,472;156,901124006889
-20,701;-51,472;156,901124006889
-20,651;-51,472;156,901124006889
-20,601;-51,472;156,901124006889
-20,551;-51,472;156,901124006889
-20,501;-51,472;156,901124006889
-20,451;-51,472;156,901124006889
-20,401;-51,472;156,901124006889
-20,351;-51,472;156,901124006889
-20,301;-51,472;156,901124006889
